subject_group,subj_area_cd,source_label,source_crs_catlg_no,source_class_no,section_id,Term,SubjectAreaCode,CatalogNumber,IsRoot,SessionGroup,ClassNumber,SequenceNumber,Path,MultiListedClassFlag,Token,days,time,location,has_course_summary_data
,BIOENGR,596 - Directed Individual or Tutorial Studies,0596,%,,261,BIOENGR,0596    ,,A8,%,,BIOENGR0596    A8,n,,,,,0
,C&EE,M20 - Introduction to Computer Programming with MATLAB,0020  M,%,147060910_C&EE0020  M A8,261,C&EE   ,0020  M ,False,, 880  ,1,147060910_C&EE0020  M A8,n,MDAyMCAgTSAxNDcwNjA5MTBfQyZFRTAwMjAgIE0gQTg=,,,Online - Asynchronous,1
,C&EE,103 - Applied Numerical Computing and Modeling in Civil and Environmental Engineering,0103,%,147318910_C&EE0103    A8,261,C&EE   ,0103    ,False,, 880  ,1,147318910_C&EE0103    A8,n,MDEwMyAgICAxNDczMTg5MTBfQyZFRTAxMDMgICAgQTg=,,,Online - Asynchronous,1
,C&EE,108 - Introduction to Mechanics of Deformable Solids,0108,%,147348910_C&EE0108    A8,261,C&EE   ,0108    ,False,, 880  ,1,147348910_C&EE0108    A8,n,MDEwOCAgICAxNDczNDg5MTBfQyZFRTAxMDggICAgQTg=,,,Online - Asynchronous,1
,C&EE,110 - Introduction to Probability and Statistics for Engineers,0110,%,147360910_C&EE0110    A8,261,C&EE   ,0110    ,False,, 880  ,1,147360910_C&EE0110    A8,n,MDExMCAgICAxNDczNjA5MTBfQyZFRTAxMTAgICAgQTg=,,,Online - Asynchronous,1
,C&EE,153 - Introduction to Environmental Engineering Science,0153,%,147614110_C&EE0153    A8,261,C&EE   ,0153    ,False,, 880  ,0,147614110_C&EE0153    A8,n,MDE1MyAgICAxNDc2MTQxMTBfQyZFRTAxNTMgICAgQTg=,,,Online - Asynchronous,1
,C&EE,188 - Geographic Information Systems for Engineering Applications,0188, 880  ,147828910_C&EE0188    A8,261,C&EE   ,0188    ,False,, 880  ,1,147828910_C&EE0188    A8,n,MDE4OCAgICAxNDc4Mjg5MTBfQyZFRTAxODggICAgQTg=,,,Online - Asynchronous,1
,C&EE,188 - Special Courses in Civil and Environmental Engineering,0188,%,147828910_C&EE0188    A8,261,C&EE   ,0188    ,False,, 880  ,1,147828910_C&EE0188    A8,n,MDE4OCAgICAxNDc4Mjg5MTBfQyZFRTAxODggICAgQTg=,,,Online - Asynchronous,1
,C&EE,296 - Advanced Topics in Civil Engineering,0296,%,,261,C&EE,0296    ,,A8,%,,C&EE0296    A8,n,,,,,0
,CLASSIC,"47 - Medical Terminology: Origins, Nature, and Practice",0047,%,148082110_CLASSIC0047    A8,261,CLASSIC,0047    ,False,, 001  ,0,148082110_CLASSIC0047    A8,n,MDA0NyAgICAxNDgwODIxMTBfQ0xBU1NJQzAwNDcgICAgQTg=,,,Online - Asynchronous,1
,COM HLT,400 - Field Studies in Public Health,0400,%,,261,COM HLT,0400    ,,A8,%,,COMHLT0400    A8,n,,,,,0
,COM SCI,31 - Introduction to Computer Science I,0031,%,187093910_COMSCI0031    A8,261,COM SCI,0031    ,False,, 001  ,1,187093910_COMSCI0031    A8,n,MDAzMSAgICAxODcwOTM5MTBfQ09NU0NJMDAzMSAgICBBOA==,,,Online - Asynchronous,1
,COM SCI,32 - Introduction to Computer Science II,0032,%,187096910_COMSCI0032    A8,261,COM SCI,0032    ,False,, 001  ,1,187096910_COMSCI0032    A8,n,MDAzMiAgICAxODcwOTY5MTBfQ09NU0NJMDAzMiAgICBBOA==,,,Online - Asynchronous,1
,COM SCI,33 - Introduction to Computer Organization,0033,%,187101910_COMSCI0033    A8,261,COM SCI,0033    ,False,, 001  ,1,187101910_COMSCI0033    A8,n,MDAzMyAgICAxODcxMDE5MTBfQ09NU0NJMDAzMyAgICBBOA==,,,No Location,1
,COM SCI,M51A - Logic Design of Digital Systems,0051A M,%,187154910_COMSCI0051A M A8,261,COM SCI,0051A M ,False,, 001  ,1,187154910_COMSCI0051A M A8,n,MDA1MUEgTSAxODcxNTQ5MTBfQ09NU0NJMDA1MUEgTSBBOA==,,,Online,1
,COM SCI,180 - Introduction to Algorithms and Complexity,0180,%,187780010_COMSCI0180    A8,261,COM SCI,0180    ,False,, 002  ,1,187780010_COMSCI0180    A8,n,MDE4MCAgICAxODc3ODAwMTBfQ09NU0NJMDE4MCAgICBBOA==,,,Online,1
,COM SCI,181 - Theory of Computing,0181,%,187787910_COMSCI0181    A8,261,COM SCI,0181    ,False,, 001  ,1,187787910_COMSCI0181    A8,n,MDE4MSAgICAxODc3ODc5MTBfQ09NU0NJMDE4MSAgICBBOA==,,,Online,1
,EC ENGR,3 - Introduction to Electrical Engineering,0003,%,439009100_ECENGR0003    A8,261,EC ENGR,0003    ,False,, 001  ,1,439009100_ECENGR0003    A8,n,MDAwMyAgICA0MzkwMDkxMDBfRUNFTkdSMDAwMyAgICBBOA==,,,Boelter Hall 5249,1
,EC ENGR,M16 - Logic Design of Digital Systems,0016  M,%,439048910_ECENGR0016  M A8,261,EC ENGR,0016  M ,False,, 001  ,1,439048910_ECENGR0016  M A8,n,MDAxNiAgTSA0MzkwNDg5MTBfRUNFTkdSMDAxNiAgTSBBOA==,,,No Location,1
,EC ENGR,100 - Electrical and Electronic Circuits,0100,%,439300100_ECENGR0100    A8,261,EC ENGR,0100    ,False,, 001  ,1,439300100_ECENGR0100    A8,n,MDEwMCAgICA0MzkzMDAxMDBfRUNFTkdSMDEwMCAgICBBOA==,,,Boelter Hall 2760,1
,EC ENGR,102 - Systems and Signals,0102,%,,261,EC ENGR,0102    ,,A8,%,,ECENGR0102    A8,n,,,,,0
,EC ENGR,131A - Probability and Statistics,0131A,%,439486100_ECENGR0131A   A8,261,EC ENGR,0131A   ,False,, 001  ,1,439486100_ECENGR0131A   A8,n,MDEzMUEgICA0Mzk0ODYxMDBfRUNFTkdSMDEzMUEgICBBOA==,,,Online,1
,ENGR,182EW - Technology and Law,0182EW,%,,261,ENGR,0182EW  ,,A8,%,,ENGR0182EW  A8,n,,,,,0
,FRNCH,8 - Intensive First-Year French,0008,%,236024110_FRNCH0008    A8,261,FRNCH  ,0008    ,False,, 001  ,0,236024110_FRNCH0008    A8,n,MDAwOCAgICAyMzYwMjQxMTBfRlJOQ0gwMDA4ICAgIEE4,,,Online,1
,GREEK,16 - Intensive First-Year Greek,0016,%,149079110_GREEK0016    A8,261,GREEK  ,0016    ,False,, 001  ,0,149079110_GREEK0016    A8,n,MDAxNiAgICAxNDkwNzkxMTBfR1JFRUswMDE2ICAgIEE4,,,Public Affairs Building 1270 Public Affairs Building 1270,1
,HEBREW,8 - Elementary Hebrew: Intensive,0008,%,290024110_HEBREW0008    A8,261,HEBREW ,0008    ,False,, 001  ,0,290024110_HEBREW0008    A8,n,MDAwOCAgICAyOTAwMjQxMTBfSEVCUkVXMDAwOCAgICBBOA==,,,Online,1
,LATIN,16 - Intensive First-Year Latin,0016,%,150084110_LATIN0016    A8,261,LATIN  ,0016    ,False,, 001  ,0,150084110_LATIN0016    A8,n,MDAxNiAgICAxNTAwODQxMTBfTEFUSU4wMDE2ICAgIEE4,,,Public Affairs Building 1278 Public Affairs Building 1278,1
,MAT SCI,104 - Science of Engineering Materials,0104,%,191324910_MATSCI0104    A8,261,MAT SCI,0104    ,False,, 001  ,1,191324910_MATSCI0104    A8,n,MDEwNCAgICAxOTEzMjQ5MTBfTUFUU0NJMDEwNCAgICBBOA==,,,Engineering V 2101 Engineering V 2101,1
,MAT SCI,104 - Science of Engineering Materials,0104,%,191324810_MATSCI0104    A8,261,MAT SCI,0104    ,False,, 880  ,1,191324810_MATSCI0104    A8,n,MDEwNCAgICAxOTEzMjQ4MTBfTUFUU0NJMDEwNCAgICBBOA==,,,Online - Asynchronous,1
,MECH&AE,94 - Introduction to Computer-Aided Design and Drafting,0094,%,210282910_MECH&AE0094    A8,261,MECH&AE,0094    ,False,, 001  ,1,210282910_MECH&AE0094    A8,n,MDA5NCAgICAyMTAyODI5MTBfTUVDSCZBRTAwOTQgICAgQTg=,,,Online - Asynchronous,1
,MECH&AE,101 - Statics and Strength of Materials,0101,%,210306910_MECH&AE0101    A8,261,MECH&AE,0101    ,False,, 001  ,1,210306910_MECH&AE0101    A8,n,MDEwMSAgICAyMTAzMDY5MTBfTUVDSCZBRTAxMDEgICAgQTg=,,,Online - Asynchronous,1
,MECH&AE,103 - Elementary Fluid Mechanics,0103,%,210318910_MECH&AE0103    A8,261,MECH&AE,0103    ,False,, 001  ,1,210318910_MECH&AE0103    A8,n,MDEwMyAgICAyMTAzMTg5MTBfTUVDSCZBRTAxMDMgICAgQTg=,,,Online - Asynchronous,1
,MECH&AE,105A - Introduction to Engineering Thermodynamics,0105A,%,210330910_MECH&AE0105A   A8,261,MECH&AE,0105A   ,False,, 001  ,1,210330910_MECH&AE0105A   A8,n,MDEwNUEgICAyMTAzMzA5MTBfTUVDSCZBRTAxMDVBICAgQTg=,,,Online - Asynchronous,1
,MECH&AE,107 - Introduction to Modeling and Analysis of Dynamic Systems,0107,%,210342910_MECH&AE0107    A8,261,MECH&AE,0107    ,False,, 001  ,1,210342910_MECH&AE0107    A8,n,MDEwNyAgICAyMTAzNDI5MTBfTUVDSCZBRTAxMDcgICAgQTg=,,,Online,1
,MECH&AE,171A - Introduction to Feedback and Control Systems: Dynamic Systems Control I,0171A,%,210726910_MECH&AE0171A   A8,261,MECH&AE,0171A   ,False,, 001  ,1,210726910_MECH&AE0171A   A8,n,MDE3MUEgICAyMTA3MjY5MTBfTUVDSCZBRTAxNzFBICAgQTg=,,,Online,1
,MSC IND,104A - Music and Law,0104A,%,434325110_MSCIND0104A   A8,261,MSC IND,0104A   ,False,, 001  ,0,434325110_MSCIND0104A   A8,n,MDEwNEEgICA0MzQzMjUxMTBfTVNDSU5EMDEwNEEgICBBOA==,,,Online,1
,MSC IND,117 - The Disc Jockey as Performer,0117,%,434397110_MSCIND0117    A8,261,MSC IND,0117    ,False,, 001  ,0,434397110_MSCIND0117    A8,n,MDExNyAgICA0MzQzOTcxMTBfTVNDSU5EMDExNyAgICBBOA==,,,Schoenberg Music Building 1200,1
,COMPTNG,10A - Introduction to Programming,0010A,%,157050910_COMPTNG0010A   A8,261,COMPTNG,0010A   ,False,, 001  ,1,157050910_COMPTNG0010A   A8,n,MDAxMEEgICAxNTcwNTA5MTBfQ09NUFRORzAwMTBBICAgQTg=,,,No Location,1
,COMPTNG,16A - Python with Applications I,0016A,%,157048910_COMPTNG0016A   A8,261,COMPTNG,0016A   ,False,, 001  ,1,157048910_COMPTNG0016A   A8,n,MDAxNkEgICAxNTcwNDg5MTBfQ09NUFRORzAwMTZBICAgQTg=,,,No Location,1
,PSYCTRY,186 - Ecological Medicine,0186,%,326686110_PSYCTRY0186    A8,261,PSYCTRY,0186    ,False,, 001  ,0,326686110_PSYCTRY0186    A8,n,MDE4NiAgICAzMjY2ODYxMTBfUFNZQ1RSWTAxODYgICAgQTg=,,,Semel Institute for Neuroscience and HumanBehavior 28221,1
,RUSSN,10 - Intensive Elementary Russian,0010,%,421030110_RUSSN0010    A8,261,RUSSN  ,0010    ,False,, 001  ,0,421030110_RUSSN0010    A8,n,MDAxMCAgICA0MjEwMzAxMTBfUlVTU04wMDEwICAgIEE4,,,Online,1
,RUSSN,20 - Intensive Intermediate Russian,0020,%,421060110_RUSSN0020    A8,261,RUSSN  ,0020    ,False,, 001  ,0,421060110_RUSSN0020    A8,n,MDAyMCAgICA0MjEwNjAxMTBfUlVTU04wMDIwICAgIEE4,,,Online,1
